indice,indicativo,mae
0,0016A,1.26
1,0076,0.995
2,0200E,1.145
3,0367,1.106
4,1014,1.435
5,1024E,1.845
6,1082,1.39
7,1109,1.387
8,1111,1.08
9,1212E,1.256
10,1249I,1.426
11,1387,1.742
12,1387E,1.769
13,1428,1.272
14,1477U,1.251
15,1484C,1.235
16,1495,1.534
17,1505,1.724
18,1549,1.431
19,1690A,1.586
20,2030,1.361
21,2235U,1.458
22,2331,1.314
23,2422,1.21
24,2444,1.218
25,8025,1000000.0
26,5960,1000000.0
27,2539,1.633
28,2614,1.218
29,2661,1.621
30,2775X,1.263
31,2870,1.277
32,2916A,1.321
33,2946X,1.256
34,3013,1.26
35,3129,1.185
36,3175,1.201
37,3191E,1.297
38,3195,1.288
39,3196,1.208
40,3200,1.16
41,3260B,1.192
42,3469A,1.161
43,4121,1.185
44,4358X,1.149
45,4452,1.131
46,4642E,1.21
47,5270B,1.533
48,5783,1.338
49,5514,1.169
50,5530E,1.508
51,5402,1.164
52,5796,1.12
53,2462,1000000.0
54,5910,1000000.0
55,5973,1.178
56,6000A,1.175
57,6155A,1.168
58,6325O,1.027
59,7178I,1.106
60,7228,1.096
61,8019,1.044
62,B228,1.238
63,8368U,1.695
64,8178D,1.174
65,8096,1000000.0
66,8175,1.403
67,8414A,1.149
68,8500A,1.083
69,9263D,1.749
70,9170,1.319
71,9091O,1.684
72,9381I,1.409
73,9390,1.306
74,9434,1.375
75,9771C,1.301
76,9898,1.239
77,9981A,1.091
78,B278,1.195
79,2465,1000000.0
80,B893,0.947
81,B954,1.352
