indicativo,nombre,provincia,latitud,longitud
0016A,REUS AEROPUERTO,TARRAGONA,41.1468,1.15335
0076,BARCELONA AEROPUERTO,BARCELONA,41.32815,2.09634
0200E,"BARCELONA, FABRA",BARCELONA,41.43045,2.16859
0367,GIRONA AEROPUERTO,GIRONA,41.89954,2.76976
1014,"HONDARRIBIA, MALKARROA",GIPUZKOA,43.3699,-1.79369
1024E,"DONOSTIA / SAN SEBASTIÁN, IGELDO",GIPUZKOA,43.30928,-2.03545
1082,BILBAO AEROPUERTO,BIZKAIA,43.26195,-2.9272
1109,SANTANDER AEROPUERTO,CANTABRIA,43.42464,-3.82921
1111,SANTANDER,CANTABRIA,43.46155,-3.81006
1212E,ASTURIAS AEROPUERTO,ASTURIAS,43.55415,-6.02704
1249I,OVIEDO,ASTURIAS,43.36269,-5.84768
1387,A CORUÑA,A CORUÑA,43.36846,-8.4021
1387E,A CORUÑA AEROPUERTO,A CORUÑA,43.31071,-8.3724
1428,SANTIAGO DE COMPOSTELA AEROPUERTO,A CORUÑA,42.9003,-8.43774
1477U,VILAGARCIA DE AROUSA,PONTEVEDRA,42.59191,-8.76474
1484C,PONTEVEDRA,PONTEVEDRA,42.43246,-8.65237
1495,VIGO AEROPUERTO,PONTEVEDRA,42.22612,-8.63295
1505,LUGO AEROPUERTO,LUGO,43.00951,-7.5694
1549,PONFERRADA,LEON,42.54763,-6.59633
1690A,OURENSE,OURENSE,42.33899,-7.86627
2030,SORIA,SORIA,41.75631,-2.47285
2235U,CERVERA DE PISUERGA,PALENCIA,42.86621,-4.49878
2331,BURGOS AEROPUERTO,BURGOS,42.34488,-3.65122
2422,VALLADOLID,VALLADOLID,41.65419,-4.73214
2444,ÁVILA,AVILA,40.65786,-4.69226
2462,PUERTO DE NAVACERRADA,MADRID,40.6893,-4.06463
2465,SEGOVIA,SEGOVIA,40.94847,-4.11648
2539,VALLADOLID AEROPUERTO,VALLADOLID,42.14969,-5.09498
2614,ZAMORA,ZAMORA,41.50705,-5.74112
2661,"LEÓN, VIRGEN DEL CAMINO",LEON,42.60691,-5.56601
2775X,VILLARDECIERVOS,ZAMORA,41.94181,-6.28667
2870,SALAMANCA,SALAMANCA,40.96426,-5.66385
2916A,VITIGUDINO,SALAMANCA,41.01287,-6.43455
2946X,SAELICES EL CHICO,SALAMANCA,40.6703,-6.63053
3013,MOLINA DE ARAGÓN,GUADALAJARA,40.84278,-1.88304
3129,MADRID AEROPUERTO,MADRID,40.48337,-3.55949
3175,TORREJÓN DE ARDOZ,MADRID,40.45924,-3.47645
3191E,COLMENAR VIEJO,MADRID,40.66586,-3.76997
3195,"MADRID, RETIRO",MADRID,40.36952,-3.59331
3196,"MADRID, CUATRO VIENTOS",MADRID,40.36508,-3.7753
3200,GETAFE,MADRID,40.30484,-3.73014
3260B,TOLEDO,TOLEDO,39.86183,-4.02523
3469A,CÁCERES,CACERES,39.47825,-6.36939
4121,CIUDAD REAL,CIUDAD REAL,38.98439,-3.93027
4358X,DON BENITO,BADAJOZ,38.9549,-5.86402
